State,Year,Quarter,Median_Home_Price,Mortgage_rate,Monthly_loan_payment,Minimum_income_needed_monthly,Minimum_income_needed_yearly
KY,2022,3,201106.8333333333,5.623076923076923,1157.4402014461084,3858.1340048203615,46297.608057844336
LA,2022,3,211630.66666666663,5.623076923076923,1218.0085450047243,4060.028483349081,48720.34180018897
MA,2022,3,393770.3333333333,5.623076923076923,2266.2860648867454,7554.286882955818,90651.44259546982
MD,2022,3,291574.0,5.623076923076923,1678.1104038224178,5593.701346074726,67124.41615289671
ME,2022,3,270982.3333333333,5.623076923076923,1559.5981562784782,5198.660520928261,62383.92625113913
MI,2022,3,180416.3333333333,5.623076923076923,1038.3591334829575,3461.1971116098584,41534.365339318305
MN,2022,3,245575.66666666663,5.623076923076923,1413.3738987665547,4711.246329221849,56534.95595066219
MO,2022,3,200881.66666666663,5.623076923076923,1156.1442884842966,3853.8142949476555,46245.77153937187
MS,2022,3,225542.66666666663,5.623076923076923,1298.076973389894,4326.92324463298,51923.07893559575
MT,2022,3,492837.0,5.623076923076923,2836.4493990843794,9454.831330281266,113457.97596337518
NC,2022,3,230384.66666666663,5.623076923076923,1325.9443778062964,4419.814592687655,53037.77511225186
ND,2022,3,275634.6666666667,5.623076923076923,1586.3739626559895,5287.913208853299,63454.958506239585
NE,2022,3,248729.66666666663,5.623076923076923,1431.5262724818238,4771.75424160608,57261.05089927296
NH,2022,3,399160.6666666667,5.623076923076923,2297.3093195210326,7657.6977317367755,91892.37278084131
NJ,2022,3,301777.5,5.623076923076923,1736.8351169497955,5789.450389832652,69473.40467799183
NM,2022,3,235015.0,5.623076923076923,1352.5935664850965,4508.645221616988,54103.742659403855
NV,2022,3,438254.6666666667,5.623076923076923,2522.3089701312842,8407.696567104282,100892.35880525138
NY,2022,3,195148.16666666663,5.623076923076923,1123.1459895951093,3743.8199653170313,44925.83958380438
OH,2022,3,149414.33333333334,5.623076923076923,859.9317745987548,2866.439248662516,34397.27098395019
OK,2022,3,159738.66666666666,5.623076923076923,919.3519258440554,3064.506419480185,36774.077033762216
OR,2022,3,425124.3333333333,5.623076923076923,2446.739306950332,8155.79768983444,97869.57227801328
PA,2022,3,172625.66666666666,5.623076923076923,993.5211205392596,3311.7370684641987,39740.84482157038
RI,2022,3,407277.0,5.623076923076923,2344.021658095656,7813.405526985521,93760.86632382625
SC,2022,3,240215.66666666663,5.623076923076923,1382.5252230804915,4608.4174102683055,55301.00892321966
SD,2022,3,318845.5,5.623076923076923,1835.0674297501173,6116.891432500392,73402.69719000469
TN,2022,3,241078.5,5.623076923076923,1387.4911308549551,4624.970436183184,55499.64523419821
TX,2022,3,246522.66666666663,5.623076923076923,1418.8242151610884,4729.414050536961,56752.96860644354
USA,2022,3,334889.0,5.623076923076923,1927.4033865354443,6424.677955118148,77096.13546141778
UT,2022,3,522613.0,5.623076923076923,3007.82069894039,10026.068996467966,120312.82795761559
VA,2022,3,258679.66666666663,5.623076923076923,1488.7920043990491,4962.640014663497,59551.68017596196
VT,2022,3,343834.8333333333,5.623076923076923,1978.8897878864839,6596.299292954946,79155.59151545935
WA,2022,3,450146.5,5.623076923076923,2590.750632409776,8635.83544136592,103630.02529639105
WI,2022,3,223813.0,5.623076923076923,1288.122136441201,4293.740454804004,51524.88545764805
WV,2022,3,157267.66666666666,5.623076923076923,905.1304561387825,3017.1015204626083,36205.218245551296
WY,2022,3,311400.6666666667,5.623076923076923,1792.2198086611638,5974.066028870547,71688.79234644656
AL,2022,4,188607.8333333333,6.664615384615384,1212.6212292469602,4042.070764156534,48504.849169878406
AR,2022,4,174434.33333333334,6.664615384615384,1121.4951784940395,3738.317261646798,44859.80713976158
AZ,2022,4,344158.1666666667,6.664615384615384,2212.705017299813,7375.683390999377,88508.20069199252
CA,2022,4,506978.0,6.664615384615384,3259.52679003876,10865.0893001292,130381.07160155041
CO,2022,4,552689.3333333334,6.664615384615384,3553.419849714706,11844.732832382353,142136.79398858824
CT,2022,4,324058.3333333333,6.664615384615384,2083.476638109169,6944.922127030563,83339.06552436676
DE,2022,4,319922.6666666667,6.664615384615384,2056.8870892635186,6856.2902975450625,82275.48357054075
FL,2022,4,328027.6666666667,6.664615384615384,2108.9967757455042,7029.989252485015,84359.87102982018
GA,2022,4,210934.0,6.664615384615384,1356.163431016801,4520.5447700560035,54246.53724067204
HI,2022,4,899882.8333333334,6.664615384615384,5785.640014253053,19285.466714176844,231425.60057012213
IA,2022,4,184706.0,6.664615384615384,1187.5350711093956,3958.450237031319,47501.40284437583
ID,2022,4,350557.6666666667,6.664615384615384,2253.8494884461998,7512.831628153999,90153.97953784799
IL,2022,4,128786.66666666669,6.664615384615384,828.0114525675509,2760.0381752251697,33120.45810270203
IN,2022,4,182172.66666666663,6.664615384615384,1171.247445476531,3904.1581515884372,46849.89781906125
KS,2022,4,218475.66666666663,6.664615384615384,1404.65126390411,4682.170879680367,56186.0505561644
KY,2022,4,205588.3333333333,6.664615384615384,1321.7943978228218,4405.981326076073,52871.775912912875
LA,2022,4,195181.3333333333,6.664615384615384,1254.8844031012886,4182.948010337629,50195.376124051545
MA,2022,4,388550.3333333333,6.664615384615384,2498.116724549172,8327.05574849724,99924.66898196688
MD,2022,4,288575.0,6.664615384615384,1855.3427238172765,6184.475746057588,74213.70895269106
